year_aliya,month_aliya,age,age_tday,gender,erez_moza,subcont,yeshuv_klita,machoz,mikzoa
2020,03,54,58,נקבה,צרפת,מערב אירופה,באר אורה,מחוז הדרום וירושלים,"מזכירה, כתבנית, קצרנית"
2020,02,47,51,זכר,צרפת,מערב אירופה,לכיש,מחוז הדרום וירושלים,איש עסקים
2020,02,7,11,זכר,צרפת,מערב אירופה,לכיש,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2020,02,6,10,נקבה,צרפת,מערב אירופה,לכיש,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2020,11,21,24,זכר,"ארה""ב",צפון אמריקה,ראש פינה,מחוז הצפון,סטודנט
2020,06,43,46,נקבה,"ארה""ב",צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,עובד סוציאלי
2020,06,13,17,זכר,"ארה""ב",צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,"תלמיד בי""ס יסודי ותכון"
2020,06,12,15,זכר,"ארה""ב",צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,"תלמיד בי""ס יסודי ותכון"
2020,06,8,12,זכר,"ארה""ב",צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,"תלמיד בי""ס יסודי ותכון"
2020,08,19,22,זכר,צרפת,מערב אירופה,מזכרת בתיה,מחוז תל אביב והמרכז,סטודנט
2020,08,75,78,נקבה,אוקראינה,מזרח אירופה,מזכרת בתיה,מחוז תל אביב והמרכז,פנסיונר / רנטייר
2020,09,72,75,נקבה,תורכיה,אחרות,מזכרת בתיה,מחוז תל אביב והמרכז,פנסיונר / רנטייר
2020,04,27,31,נקבה,"ארה""ב",צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,עוזר/ת לרופא/ת שיניים
2020,11,18,21,נקבה,אוסטרליה,אוקיאניה,מזכרת בתיה,מחוז תל אביב והמרכז,לא צויין
2020,08,33,37,זכר,"ארה""ב",צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,וטרינר
2020,08,2,5,זכר,"ארה""ב",צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,
2020,08,0,3,נקבה,"ארה""ב",צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,
2020,11,24,27,זכר,"ארה""ב",צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,סטודנט
2020,01,30,33,זכר,בריטניה,מערב אירופה,מזכרת בתיה,מחוז תל אביב והמרכז,רופא
2020,01,27,31,נקבה,בריטניה,מערב אירופה,מזכרת בתיה,מחוז תל אביב והמרכז,רופא
2020,01,39,43,נקבה,ארגנטינה,דרום אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,ריפוי בעיסוק
2020,04,81,84,נקבה,איטליה,מערב אירופה,מזכרת בתיה,מחוז תל אביב והמרכז,פנסיונר / רנטייר
2020,09,80,83,נקבה,ארגנטינה,דרום אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,פנסיונר / רנטייר
2020,09,48,51,זכר,בריטניה,מערב אירופה,מזכרת בתיה,מחוז תל אביב והמרכז,מהנדס מחשבים
2020,11,27,30,נקבה,אזרביג'אן,מזרח אירופה,אופקים,מחוז הדרום וירושלים,עקרת בית
2020,11,7,10,נקבה,אזרביג'אן,מזרח אירופה,אופקים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2020,01,59,63,זכר,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,טכנאי הנדסת מכונות
2020,01,21,25,נקבה,אזרביג'אן,מזרח אירופה,אופקים,מחוז הדרום וירושלים,עקרת בית
2020,03,32,35,נקבה,אוזבקיסטאן,מזרח אירופה,אופקים,מחוז הדרום וירושלים,לא צויין
